0.0, B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,
 26.15, 138, 76, 141, 93, 60, 112, 138, 74, 70, 138, 62, 53, 67, 66, 53, 52, 52, 54, 64, 52, 
 26.40, 138, 76, 141, 93, 60, 112, 138, 74, 70, 138, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 26.55, 138, 76, 141, 93, 67, 112, 138, 74, 70, 138, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 26.75, 138, 76, 141, 93, 67, 112, 138, 74, 70, 138, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 27.00, 138, 76, 141, 93, 67, 112, 138, 74, 70, 138, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 27.30, 138, 76, 141, 93, 67, 112, 138, 74, 70, 138, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 28.65, 138, 76, 141, 93, 67, 112, 138, 74, 70, 138, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 28.90, 138, 76, 141, 93, 67, 112, 138, 74, 70, 64, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 29.80, 138, 76, 141, 93, 67, 112, 138, 74, 70, 64, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 30.40, 138, 76, 141, 93, 67, 112, 138, 74, 70, 64, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 30.60, 138, 76, 96, 93, 67, 112, 138, 74, 70, 64, 62, 53, 67, 66, 53, 52, 67, 54, 64, 52, 
 31.25, 138, 76, 96, 93, 67, 112, 138, 74, 70, 64, 62, 71, 67, 66, 53, 52, 67, 54, 64, 52, 
 31.55, 138, 76, 96, 93, 67, 112, 138, 74, 70, 69, 62, 71, 67, 66, 53, 52, 67, 54, 64, 52, 
 31.75, 138, 76, 96, 93, 67, 112, 138, 74, 70, 69, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 32.10, 138, 76, 96, 93, 67, 112, 138, 74, 70, 69, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 32.30, 138, 76, 96, 93, 74, 112, 138, 74, 70, 69, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 32.40, 138, 76, 96, 93, 74, 112, 138, 74, 70, 69, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 32.45, 138, 76, 96, 93, 76, 112, 138, 74, 70, 69, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
